n,size,misses
1155,369985,1187723
1156,369596,1190035
1157,370753,1191965
1158,371911,1193896
1159,371521,1196214
1160,372681,1198149
1161,373842,1200085
1162,373451,1202409
1163,374614,1204349
1164,375778,1206290
1165,375386,1208620
1166,376552,1210565
1167,377719,1212511
1168,377326,1214847
1169,378495,1216797
1170,379665,1218748
1171,379271,1221090
1172,380443,1223045
1173,381616,1225001
1174,381221,1227349
1175,382396,1229309
1176,383572,1231270
1177,383176,1233624
1178,384354,1235589
1179,385533,1237555
1180,385136,1239915
1181,386317,1241885
1182,387499,1243856
1183,387101,1246222
1184,388285,1248197
1185,389470,1250173
1186,389071,1252545
1187,390258,1254525
1188,391446,1256506
1189,391046,1258884
1190,392236,1260869
1191,393427,1262855
1192,393026,1265239
1193,394219,1267229
1194,395413,1269220
1195,395011,1271610
1196,396207,1273605
1197,397404,1275601
1198,397001,1277997
1199,398200,1279997
1200,399400,1281998
1201,398996,1284400
1202,400198,1286405
1203,401401,1288411
1204,400996,1290819
1205,402201,1292829
1206,403407,1294840
1207,403001,1297254
1208,404209,1299269
1209,405418,1301285
1210,405011,1303705
1211,406222,1305725
1212,407434,1307746
1213,407026,1310172
1214,408240,1312197
1215,409455,1314223
1216,409046,1316655
1217,410263,1318685
1218,411481,1320716
1219,411071,1323154
1220,412291,1325189
1221,413512,1327225
1222,413101,1329669
1223,414324,1331709
1224,415548,1333750
1225,415136,1336200
1226,416362,1338245
1227,417589,1340291
1228,417176,1342747
1229,418405,1344797
1230,419635,1346848
1231,419221,1349310
1232,420453,1351365
1233,421686,1353421
1234,421271,1355889
1235,422506,1357949
1236,423742,1360010
1237,423326,1362484
1238,424564,1364549
1239,425803,1366615
1240,425386,1369095
1241,426627,1371165
1242,427869,1373236
1243,427451,1375722
1244,428695,1377797
1245,429940,1379873
1246,429521,1382365
1247,430768,1384445
1248,432016,1386526
1249,431596,1389024
1250,432846,1391109
1251,434097,1393195
1252,433676,1395699
1253,434929,1397789
1254,436183,1399880
1255,435761,1402390
1256,437017,1404485
1257,438274,1406581
1258,437851,1409097
1259,439110,1411197
1260,440370,1413298
1261,439946,1415820
1262,441208,1417925
1263,442471,1420031
1264,442046,1422559
1265,443311,1424669
1266,444577,1426780
1267,444151,1429314
1268,445419,1431429
1269,446688,1433545
1270,446261,1436085
1271,447532,1438205
1272,448804,1440326
1273,448376,1442872
1274,449650,1444997
1275,450925,1447123
1276,450496,1449675
1277,451773,1451805
1278,453051,1453936
1279,452621,1456494
1280,453901,1458629
1281,455182,1460765
1282,454751,1463329
1283,456034,1465469
1284,457318,1467610
1285,456886,1470180
1286,458172,1472325
1287,459459,1474471
1288,459026,1477047
1289,460315,1479197
1290,461605,1481348
1291,461171,1483930
1292,462463,1486085
1293,463756,1488241
1294,463321,1490829
1295,464616,1492989
1296,465912,1495150
1297,465476,1497744
1298,466774,1499909
1299,468073,1502075
1300,467636,1504675
1301,468937,1506845
1302,470239,1509016
1303,469801,1511622
1304,471105,1513797
1305,472410,1515973
1306,471971,1518585
1307,473278,1520765
1308,474586,1522946
1309,474146,1525564
1310,475456,1527749
1311,476767,1529935
1312,476326,1532559
1313,477639,1534749
1314,478953,1536940
1315,478511,1539570
1316,479827,1541765
1317,481144,1543961
1318,480701,1546597
1319,482020,1548797
1320,483340,1550998
1321,482896,1553640
1322,484218,1555845
1323,485541,1558051
1324,485096,1560699
1325,486421,1562909
1326,487747,1565120
1327,487301,1567774
1328,488629,1569989
1329,489958,1572205
1330,489511,1574865
1331,490842,1577085
1332,492174,1579306
1333,491726,1581972
1334,493060,1584197
1335,494395,1586423
1336,493946,1589095
1337,495283,1591325
1338,496621,1593556
1339,496171,1596234
1340,497511,1598469
1341,498852,1600705
1342,498401,1603389
1343,499744,1605629
1344,501088,1607870
1345,500636,1610560
1346,501982,1612805
1347,503329,1615051
1348,502876,1617747
1349,504225,1619997
1350,505575,1622248
1351,505121,1624950
1352,506473,1627205
1353,507826,1629461
1354,507371,1632169
1355,508726,1634429
1356,510082,1636690
1357,509626,1639404
1358,510984,1641669
1359,512343,1643935
1360,511886,1646655
1361,513247,1648925
1362,514609,1651196
1363,514151,1653922
1364,515515,1656197
1365,516880,1658473
1366,516421,1661205
1367,517788,1663485
1368,519156,1665766
1369,518696,1668504
1370,520066,1670789
1371,521437,1673075
1372,520976,1675819
1373,522349,1678109
1374,523723,1680400
1375,523261,1683150
1376,524637,1685445
1377,526014,1687741
1378,525551,1690497
1379,526930,1692797
1380,528310,1695098
1381,527846,1697860
1382,529228,1700165
1383,530611,1702471
1384,530146,1705239
1385,531531,1707549
1386,532917,1709860
1387,532451,1712634
1388,533839,1714949
1389,535228,1717265
1390,534761,1720045
1391,536152,1722365
1392,537544,1724686
1393,537076,1727472
1394,538470,1729797
1395,539865,1732123
1396,539396,1734915
1397,540793,1737245
1398,542191,1739576
1399,541721,1742374
1400,543121,1744709
1401,544522,1747045
1402,544051,1749849
1403,545454,1752189
1404,546858,1754530
1405,546386,1757340
1406,547792,1759685
1407,549199,1762031
1408,548726,1764847
1409,550135,1767197
1410,551545,1769548
1411,551071,1772370
1412,552483,1774725
1413,553896,1777081
1414,553421,1779909
1415,554836,1782269
1416,556252,1784630
1417,555776,1787464
1418,557194,1789829
1419,558613,1792195
1420,558136,1795035
1421,559557,1797405
1422,560979,1799776
1423,560501,1802622
1424,561925,1804997
1425,563350,1807373
1426,562871,1810225
1427,564298,1812605
1428,565726,1814986
1429,565246,1817844
1430,566676,1820229
1431,568107,1822615
1432,567626,1825479
1433,569059,1827869
1434,570493,1830260
1435,570011,1833130
1436,571447,1835525
1437,572884,1837921
1438,572401,1840797
1439,573840,1843197
1440,575280,1845598
1441,574796,1848480
1442,576238,1850885
1443,577681,1853291
1444,577196,1856179
1445,578641,1858589
1446,580087,1861000
1447,579601,1863894
1448,581049,1866309
1449,582498,1868725
1450,582011,1871625
1451,583462,1874045
1452,584914,1876466
1453,584426,1879372
1454,585880,1881797
1455,587335,1884223
1456,586846,1887135
1457,588303,1889565
1458,589761,1891996
1459,589271,1894914
1460,590731,1897349
1461,592192,1899785
1462,591701,1902709
1463,593164,1905149
1464,594628,1907590
1465,594136,1910520
1466,595602,1912965
1467,597069,1915411
1468,596576,1918347
1469,598045,1920797
1470,599515,1923248
1471,599021,1926190
1472,600493,1928645
1473,601966,1931101
1474,601471,1934049
1475,602946,1936509
1476,604422,1938970
1477,603926,1941924
1478,605404,1944389
1479,606883,1946855
1480,606386,1949815
1481,607867,1952285
1482,609349,1954756
1483,608851,1957722
1484,610335,1960197
1485,611820,1962673
1486,611321,1965645
1487,612808,1968125
1488,614296,1970606
1489,613796,1973584
1490,615286,1976069
1491,616777,1978555
1492,616276,1981539
1493,617769,1984029
1494,619263,1986520
1495,618761,1989510
1496,620257,1992005
1497,621754,1994501
1498,621251,1997497
1499,622750,1999997
1500,624250,2002498
1501,623746,2005500
1502,625248,2008005
1503,626751,2010511
1504,626246,2013519
1505,627751,2016029
1506,629257,2018540
1507,628751,2021554
1508,630259,2024069
1509,631768,2026585
1510,631261,2029605
1511,632772,2032125
1512,634284,2034646
1513,633776,2037672
1514,635290,2040197
1515,636805,2042723
1516,636296,2045755
1517,637813,2048285
1518,639331,2050816
1519,638821,2053854
1520,640341,2056389
1521,641862,2058925
1522,641351,2061969
1523,642874,2064509
1524,644398,2067050
1525,643886,2070100
1526,645412,2072645
1527,646939,2075191
1528,646426,2078247
1529,647955,2080797
1530,649485,2083348
1531,648971,2086410
1532,650503,2088965
1533,652036,2091521
1534,651521,2094589
1535,653056,2097149
1536,654592,2099710
1537,654076,2102784
1538,655614,2105349
1539,657153,2107915
1540,656636,2110995
1541,658177,2113565
1542,659719,2116136
1543,659201,2119222
1544,660745,2121797
1545,662290,2124373
1546,661771,2127465
1547,663318,2130045
1548,664866,2132626
1549,664346,2135724
1550,665896,2138309
1551,667447,2140895
1552,666926,2143999
1553,668479,2146589
1554,670033,2149180
1555,669511,2152290
1556,671067,2154885
1557,672624,2157481
1558,672101,2160597
1559,673660,2163197
1560,675220,2165798
1561,674696,2168920
1562,676258,2171525
1563,677821,2174131
1564,677296,2177259
1565,678861,2179869
1566,680427,2182480
1567,679901,2185614
1568,681469,2188229
1569,683038,2190845
1570,682511,2193985
1571,684082,2196605
1572,685654,2199226
1573,685126,2202372
1574,686700,2204997
1575,688275,2207623
1576,687746,2210775
1577,689323,2213405
1578,690901,2216036
1579,690371,2219194
1580,691951,2221829
1581,693532,2224465
1582,693001,2227629
1583,694584,2230269
1584,696168,2232910
1585,695636,2236080
1586,697222,2238725
1587,698809,2241371
1588,698276,2244547
1589,699865,2247197
1590,701455,2249848
1591,700921,2253030
1592,702513,2255685
1593,704106,2258341
1594,703571,2261529
1595,705166,2264189
1596,706762,2266850
1597,706226,2270044
1598,707824,2272709
1599,709423,2275375
1600,708886,2278575
1601,710487,2281245
1602,712089,2283916
1603,711551,2287122
1604,713155,2289797
1605,714760,2292473
1606,714221,2295685
1607,715828,2298365
1608,717436,2301046
1609,716896,2304264
1610,718506,2306949
1611,720117,2309635
1612,719576,2312859
